VDO_frame,pigID,head_xmin,head_ymin,head_xmax,head_ymax,body_xmin,body_ymin,body_xmax,body_ymax
1,1,495,726,593,825,316,721,595,1017
1,2,441,113,522,213,260,112,523,367
1,3,606,729,715,810,476,727,715,1000
1,4,647,285,714,395,648,287,912,512
1,5,957,197,1047,270,815,26,1049,271
1,6,189,742,286,797,168,537,287,800
1,7,964,462,1073,543,926,238,1070,543
1,8,280,689,348,773,280,635,566,775
1,9,1014,716,1073,825,769,712,1073,829
1,10,672,909,727,1005,673,908,961,1025
500,1,772,250,873,320,626,247,873,518
500,2,852,295,909,360,848,159,1098,391
500,3,819,351,905,412,694,351,905,609
500,4,798,202,884,272,690,31,877,273
500,5,823,485,902,585,818,330,1076,584
500,6,201,983,302,1046,77,855,309,1045
500,7,868,189,934,293,868,21,1076,296
500,8,740,192,801,298,511,187,799,297
500,9,864,931,923,1041,857,793,1093,1041
500,10,807,588,887,648,737,589,890,851
1000,1,997,392,1090,497,782,346,1091,495
1000,2,759,266,860,338,759,123,1016,339
1000,3,918,442,984,488,744,439,981,617
1000,4,744,22,840,142,740,20,1007,198
1000,5,337,726,405,818,334,623,618,818
1000,6,205,842,273,926,203,842,451,1020
1000,7,337,337,409,439,334,306,639,435
1000,8,709,34,809,142,585,38,807,312
1000,9,674,838,778,945,676,841,1005,1036
1000,10,449,742,530,796,445,741,724,849
1500,1,861,31,966,113,862,30,1109,292
1500,2,861,162,937,262,864,162,1095,441
1500,3,520,68,581,173,294,67,580,241
1500,4,787,573,890,639,787,342,920,642
1500,5,778,97,843,204,549,97,844,231
1500,6,105,546,173,627,107,547,259,791
1500,7,712,547,795,623,603,364,802,625
1500,8,822,280,895,387,574,275,893,388
1500,9,299,801,362,892,76,800,364,1029
1500,10,310,635,381,730,311,617,577,729
2000,1,260,971,360,1055,120,780,356,1048
2000,2,781,259,841,358,778,117,1045,359
2000,3,739,276,790,393,506,222,795,395
2000,4,234,614,303,721,234,502,507,718
2000,5,790,197,905,277,664,39,901,287
2000,6,359,281,444,368,206,281,444,497
2000,7,826,435,926,480,822,430,952,691
2000,8,1015,179,1115,279,836,180,1115,441
2000,9,427,697,486,806,428,598,657,809
2000,10,295,695,394,771,289,697,397,991
2500,1,816,268,922,364,752,267,919,601
2500,2,418,188,480,280,415,121,712,284
2500,3,1014,42,1073,133,776,39,1072,152
2500,4,801,231,859,331,553,231,861,330
2500,5,669,673,759,759,591,459,759,759
2500,6,365,193,436,283,249,191,435,437
2500,7,905,320,970,401,872,320,973,601
2500,8,980,417,1069,483,972,148,1070,483
2500,9,268,696,364,754,257,477,389,752
2500,10,362,706,435,785,157,705,436,841
3000,1,718,141,785,246,716,113,1081,247
3000,2,239,314,297,410,241,231,501,421
3000,3,853,331,972,395,856,330,1112,518
3000,4,998,22,1060,122,766,26,1057,158
3000,5,347,710,412,825,345,633,628,823
3000,6,430,55,497,148,228,56,499,227
3000,7,1002,527,1114,635,740,509,1119,635
3000,8,968,996,1074,1051,941,751,1077,1051
3000,9,260,954,353,1038,123,750,355,1038
3000,10,752,247,847,298,695,245,845,513
3500,1,769,273,866,373,530,248,866,377
3500,2,203,59,303,120,201,59,331,335
3500,3,811,283,894,380,803,279,1086,500
3500,4,868,192,952,304,869,58,1040,306
3500,5,712,800,768,905,539,700,769,908
3500,6,827,191,872,276,656,79,876,277
3500,7,1020,525,1078,617,811,506,1076,622
3500,8,1014,816,1080,929,784,813,1080,935
3500,9,337,773,439,856,210,773,436,1063
3500,10,119,739,177,826,115,584,276,823
4000,1,822,256,897,348,739,255,897,585
4000,2,284,306,368,385,273,75,428,385
4000,3,835,160,936,247,830,162,968,495
4000,4,970,370,1062,434,927,104,1060,439
4000,5,694,212,786,316,578,210,785,488
4000,6,727,195,803,254,657,18,806,258
4000,7,768,933,866,997,760,718,868,996
4000,8,990,518,1081,605,923,518,1078,810
4000,9,536,830,595,937,302,831,598,997
4000,10,136,763,228,821,136,560,290,822
4500,1,966,138,1068,221,966,139,1072,495
4500,2,515,35,593,141,289,39,590,217
4500,3,807,181,886,288,594,71,885,289
4500,4,343,755,440,858,341,606,605,859
4500,5,712,366,798,464,716,366,1028,484
4500,6,277,731,366,797,278,518,389,791
4500,7,999,956,1066,1047,777,871,1066,1046
4500,8,109,48,203,126,107,46,226,335
4500,9,98,863,160,975,95,863,411,1001
4500,10,122,687,174,784,123,546,272,785
5000,1,912,185,1019,272,912,187,1078,514
5000,2,714,279,791,362,511,173,790,363
5000,3,801,362,915,442,801,363,1068,589
5000,4,286,535,373,633,287,533,562,679
5000,5,832,166,907,270,656,14,906,271
5000,6,536,835,619,887,531,618,622,888
5000,7,978,987,1076,1050,862,841,1076,1048
5000,8,406,33,485,141,174,34,489,238
5000,9,286,787,365,881,93,783,361,1055
5000,10,120,683,180,789,116,572,281,795
